AAR,STATKODE,BYDEL,Total,Percentage,COUNTRY,DISTRICT
1992.0,0.0,0.0,37797.0,0.0813598067874,Foreign Nations,All Districts
1992.0,0.0,1.0,2888.0,0.0711417662274,Foreign Nations,Indre By
1992.0,0.0,2.0,3504.0,0.0563153919095,Foreign Nations,Østerbro
1992.0,0.0,3.0,9041.0,0.134436662652,Foreign Nations,Nørrebro
1992.0,0.0,4.0,6635.0,0.138650896477,Foreign Nations,Vesterbro/Kgs. Enghave
1992.0,0.0,5.0,2521.0,0.0577046328511,Foreign Nations,Valby
1992.0,0.0,6.0,1281.0,0.0373436725651,Foreign Nations,Vanløse
1992.0,0.0,7.0,2096.0,0.057040222065,Foreign Nations,Brønshøj-Husum
1992.0,0.0,8.0,2951.0,0.0708217337045,Foreign Nations,Bispebjerg
1992.0,0.0,9.0,3437.0,0.0758635912151,Foreign Nations,Amager Øst
1992.0,0.0,10.0,2805.0,0.0656171048938,Foreign Nations,Amager Vest
1992.0,0.0,99.0,638.0,0.291723822588,Foreign Nations,Udenfor inddeling
1992.0,5100.0,0.0,426769.0,0.918640193213,Danmark,All Districts
1992.0,5100.0,1.0,37707.0,0.928858233773,Danmark,Indre By
1992.0,5100.0,2.0,58717.0,0.943684608091,Danmark,Østerbro
1992.0,5100.0,3.0,58210.0,0.865563337348,Danmark,Nørrebro
1992.0,5100.0,4.0,41219.0,0.861349103523,Danmark,Vesterbro/Kgs. Enghave
1992.0,5100.0,5.0,41167.0,0.942295367149,Danmark,Valby
1992.0,5100.0,6.0,33022.0,0.962656327435,Danmark,Vanløse
1992.0,5100.0,7.0,34650.0,0.942959777935,Danmark,Brønshøj-Husum
1992.0,5100.0,8.0,38717.0,0.929178266295,Danmark,Bispebjerg
1992.0,5100.0,9.0,41868.0,0.924136408785,Danmark,Amager Øst
1992.0,5100.0,10.0,39943.0,0.934382895106,Danmark,Amager Vest
1992.0,5100.0,99.0,1549.0,0.708276177412,Danmark,Udenfor inddeling
1993.0,0.0,0.0,39933.0,0.0856694176934,Foreign Nations,All Districts
1993.0,0.0,1.0,3019.0,0.0737690897984,Foreign Nations,Indre By
1993.0,0.0,2.0,3581.0,0.0572200118243,Foreign Nations,Østerbro
1993.0,0.0,3.0,9675.0,0.142734904032,Foreign Nations,Nørrebro
1993.0,0.0,4.0,6841.0,0.143751707327,Foreign Nations,Vesterbro/Kgs. Enghave
1993.0,0.0,5.0,2738.0,0.0625314027315,Foreign Nations,Valby
1993.0,0.0,6.0,1296.0,0.0376033657334,Foreign Nations,Vanløse
1993.0,0.0,7.0,2253.0,0.0612994504,Foreign Nations,Brønshøj-Husum
1993.0,0.0,8.0,3306.0,0.0793528875234,Foreign Nations,Bispebjerg
1993.0,0.0,9.0,3603.0,0.0794574925571,Foreign Nations,Amager Øst
1993.0,0.0,10.0,3089.0,0.0712785841198,Foreign Nations,Amager Vest
1993.0,0.0,99.0,532.0,0.28,Foreign Nations,Udenfor inddeling
1993.0,5100.0,0.0,426196.0,0.914330582307,Danmark,All Districts
1993.0,5100.0,1.0,37906.0,0.926230910202,Danmark,Indre By
1993.0,5100.0,2.0,59002.0,0.942779988176,Danmark,Østerbro
1993.0,5100.0,3.0,58108.0,0.857265095968,Danmark,Nørrebro
1993.0,5100.0,4.0,40748.0,0.856248292673,Danmark,Vesterbro/Kgs. Enghave
1993.0,5100.0,5.0,41048.0,0.937468597269,Danmark,Valby
1993.0,5100.0,6.0,33169.0,0.962396634267,Danmark,Vanløse
1993.0,5100.0,7.0,34501.0,0.9387005496,Danmark,Brønshøj-Husum
1993.0,5100.0,8.0,38356.0,0.920647112477,Danmark,Bispebjerg
1993.0,5100.0,9.0,41742.0,0.920542507443,Danmark,Amager Øst
1993.0,5100.0,10.0,40248.0,0.92872141588,Danmark,Amager Vest
1993.0,5100.0,99.0,1368.0,0.72,Danmark,Udenfor inddeling
1994.0,0.0,0.0,42030.0,0.0899512683707,Foreign Nations,All Districts
1994.0,0.0,1.0,3091.0,0.0748698074361,Foreign Nations,Indre By
1994.0,0.0,2.0,3758.0,0.0596034892942,Foreign Nations,Østerbro
1994.0,0.0,3.0,10390.0,0.152536152096,Foreign Nations,Nørrebro
1994.0,0.0,4.0,6791.0,0.142854137742,Foreign Nations,Vesterbro/Kgs. Enghave
1994.0,0.0,5.0,2904.0,0.0666391298362,Foreign Nations,Valby
1994.0,0.0,6.0,1410.0,0.0405347132385,Foreign Nations,Vanløse
1994.0,0.0,7.0,2524.0,0.0687270251872,Foreign Nations,Brønshøj-Husum
1994.0,0.0,8.0,3492.0,0.0849407701102,Foreign Nations,Bispebjerg
1994.0,0.0,9.0,3833.0,0.0836516007944,Foreign Nations,Amager Øst
1994.0,0.0,10.0,3290.0,0.0759657346048,Foreign Nations,Amager Vest
1994.0,0.0,99.0,547.0,0.282541322314,Foreign Nations,Udenfor inddeling
1994.0,5100.0,0.0,425223.0,0.910048731629,Danmark,All Districts
1994.0,5100.0,1.0,38194.0,0.925130192564,Danmark,Indre By
1994.0,5100.0,2.0,59292.0,0.940396510706,Danmark,Østerbro
1994.0,5100.0,3.0,57725.0,0.847463847904,Danmark,Nørrebro
1994.0,5100.0,4.0,40747.0,0.857145862258,Danmark,Vesterbro/Kgs. Enghave
1994.0,5100.0,5.0,40674.0,0.933360870164,Danmark,Valby
1994.0,5100.0,6.0,33375.0,0.959465286762,Danmark,Vanløse
1994.0,5100.0,7.0,34201.0,0.931272974813,Danmark,Brønshøj-Husum
1994.0,5100.0,8.0,37619.0,0.91505922989,Danmark,Bispebjerg
1994.0,5100.0,9.0,41988.0,0.916348399206,Danmark,Amager Øst
1994.0,5100.0,10.0,40019.0,0.924034265395,Danmark,Amager Vest
1994.0,5100.0,99.0,1389.0,0.717458677686,Danmark,Udenfor inddeling
1995.0,0.0,0.0,44666.0,0.0947719074899,Foreign Nations,All Districts
1995.0,0.0,1.0,3261.0,0.0784271284271,Foreign Nations,Indre By
1995.0,0.0,2.0,3917.0,0.0616151764928,Foreign Nations,Østerbro
1995.0,0.0,3.0,10857.0,0.15817768583,Foreign Nations,Nørrebro
1995.0,0.0,4.0,6763.0,0.14198139945,Foreign Nations,Vesterbro/Kgs. Enghave
1995.0,0.0,5.0,3007.0,0.0688541857483,Foreign Nations,Valby
1995.0,0.0,6.0,1428.0,0.0408899579074,Foreign Nations,Vanløse
1995.0,0.0,7.0,2999.0,0.0800886610052,Foreign Nations,Brønshøj-Husum
1995.0,0.0,8.0,3944.0,0.094510076442,Foreign Nations,Bispebjerg
1995.0,0.0,9.0,4053.0,0.0878489682677,Foreign Nations,Amager Øst
1995.0,0.0,10.0,3524.0,0.0806998259595,Foreign Nations,Amager Vest
1995.0,0.0,99.0,913.0,0.396784006953,Foreign Nations,Udenfor inddeling
1995.0,5100.0,0.0,426634.0,0.90522809251,Danmark,All Districts
1995.0,5100.0,1.0,38319.0,0.921572871573,Danmark,Indre By
1995.0,5100.0,2.0,59655.0,0.938384823507,Danmark,Østerbro
1995.0,5100.0,3.0,57781.0,0.84182231417,Danmark,Nørrebro
