AAR,Total,COUNTRY
2015.0,4745.0,Sverige
2015.0,4523.0,Storbritannien
2015.0,4502.0,Pakistan
2015.0,4093.0,Norge
2015.0,4021.0,Tyskland
2015.0,3906.0,Polen
2015.0,3792.0,Tyrkiet
2015.0,3069.0,Italien
2015.0,2552.0,Kina
2015.0,2544.0,Irak
2015.0,2534.0,USA
2015.0,2168.0,Indien
2015.0,2156.0,Frankrig
2015.0,2087.0,Somalia
2015.0,1999.0,Spanien
2015.0,1968.0,Island
2015.0,1891.0,Rumænien
2015.0,1692.0,Nepal
2015.0,1544.0,Thailand
2015.0,1518.0,Makedonien
2015.0,1499.0,Marokko
2015.0,1487.0,Jugoslavien
2015.0,1413.0,Bulgarien
2015.0,1396.0,Filippinerne
2015.0,1348.0,Litauen
2015.0,23230.0,Other
