AAR,Total,COUNTRY
1992.0,5272.0,Tyrkiet
1992.0,4433.0,Jugoslavien
1992.0,3161.0,Pakistan
1992.0,2954.0,Storbritannien
1992.0,1881.0,Norge
1992.0,1780.0,Sverige
1992.0,1763.0,Marokko
1992.0,1349.0,Iran
1992.0,1092.0,USA
1992.0,957.0,Tyskland
1992.0,860.0,Polen
1992.0,769.0,Frankrig
1992.0,706.0,Italien
1992.0,652.0,Island
1992.0,593.0,Statsløs
1992.0,576.0,Irak
1992.0,528.0,Finland
1992.0,522.0,Filippinerne
1992.0,434.0,Jordan
1992.0,421.0,Kina
1992.0,421.0,Thailand
1992.0,357.0,Libanon
1992.0,318.0,Indien
1992.0,309.0,Nederlandene
1992.0,300.0,Irland
1993.0,5441.0,Tyrkiet
1993.0,4633.0,Jugoslavien
1993.0,3264.0,Pakistan
1993.0,3008.0,Storbritannien
1993.0,1907.0,Norge
1993.0,1813.0,Sverige
1993.0,1800.0,Marokko
1993.0,1322.0,Iran
1993.0,1150.0,USA
1993.0,1042.0,Tyskland
1993.0,877.0,Polen
1993.0,859.0,Irak
1993.0,811.0,Statsløs
1993.0,806.0,Frankrig
1993.0,717.0,Italien
1993.0,640.0,Island
1993.0,560.0,Filippinerne
1993.0,524.0,Finland
1993.0,489.0,Libanon
1993.0,489.0,Thailand
1993.0,478.0,Kina
1993.0,444.0,Jordan
1993.0,340.0,Indien
1993.0,318.0,Spanien
1993.0,310.0,Nederlandene
1994.0,5518.0,Tyrkiet
1994.0,4672.0,Jugoslavien
1994.0,3290.0,Pakistan
1994.0,3096.0,Storbritannien
1994.0,1917.0,Norge
1994.0,1881.0,Sverige
1994.0,1780.0,Marokko
1994.0,1372.0,Iran
1994.0,1226.0,USA
1994.0,1165.0,Irak
1994.0,1105.0,Tyskland
1994.0,1012.0,Statsløs
1994.0,886.0,Polen
1994.0,838.0,Frankrig
1994.0,740.0,Italien
1994.0,660.0,Island
1994.0,591.0,Filippinerne
1994.0,582.0,Libanon
1994.0,556.0,Kina
1994.0,532.0,Finland
1994.0,527.0,Thailand
1994.0,441.0,Jordan
1994.0,433.0,Somalia
1994.0,368.0,Spanien
1994.0,347.0,Indien
1995.0,5527.0,Tyrkiet
1995.0,4406.0,Jugoslavien
1995.0,3369.0,Storbritannien
1995.0,3321.0,Pakistan
1995.0,1953.0,Sverige
1995.0,1926.0,Norge
1995.0,1819.0,Marokko
1995.0,1532.0,Irak
1995.0,1471.0,Iran
1995.0,1333.0,Statsløs
1995.0,1301.0,USA
1995.0,1144.0,Tyskland
1995.0,890.0,Frankrig
1995.0,878.0,Polen
1995.0,828.0,Italien
1995.0,740.0,Island
1995.0,727.0,Libanon
1995.0,649.0,Kina
1995.0,644.0,Filippinerne
1995.0,615.0,Somalia
1995.0,588.0,Thailand
1995.0,541.0,Finland
1995.0,430.0,Jordan
1995.0,406.0,Spanien
1995.0,359.0,Nederlandene
1996.0,5677.0,Tyrkiet
1996.0,4296.0,Jugoslavien
1996.0,3513.0,Storbritannien
1996.0,3409.0,Pakistan
1996.0,2062.0,Sverige
1996.0,2044.0,Norge
1996.0,1967.0,Irak
1996.0,1870.0,Marokko
1996.0,1627.0,Statsløs
1996.0,1471.0,Iran
1996.0,1354.0,USA
1996.0,1217.0,Tyskland
1996.0,1046.0,Somalia
1996.0,995.0,Frankrig
1996.0,938.0,Island
1996.0,897.0,Polen
1996.0,895.0,Italien
1996.0,855.0,Bosnien-Hercegovina
1996.0,854.0,Libanon
1996.0,737.0,Kina
1996.0,683.0,Filippinerne
1996.0,666.0,Thailand
1996.0,536.0,Finland
1996.0,437.0,Spanien
1996.0,417.0,Jordan
1997.0,5842.0,Tyrkiet
1997.0,4298.0,Jugoslavien
1997.0,3736.0,Storbritannien
1997.0,3470.0,Pakistan
1997.0,2421.0,Irak
1997.0,2223.0,Sverige
1997.0,2200.0,Norge
1997.0,1972.0,Marokko
1997.0,1711.0,Statsløs
1997.0,1704.0,Somalia
1997.0,1473.0,Iran
1997.0,1399.0,USA
1997.0,1304.0,Tyskland
1997.0,1096.0,Bosnien-Hercegovina
1997.0,1088.0,Frankrig
1997.0,1056.0,Island
1997.0,946.0,Italien
1997.0,946.0,Libanon
1997.0,919.0,Polen
1997.0,786.0,Kina
1997.0,741.0,Thailand
1997.0,720.0,Filippinerne
1997.0,558.0,Finland
1997.0,495.0,Spanien
1997.0,426.0,Jordan
1998.0,5974.0,Tyrkiet
1998.0,4207.0,Jugoslavien
1998.0,3846.0,Storbritannien
1998.0,3583.0,Pakistan
1998.0,2787.0,Irak
1998.0,2481.0,Sverige
1998.0,2311.0,Norge
