"Ár";"Ríkisfang";"Alls Aðfluttir";"Alls Brottfluttir"
"1986";"Ísland";2041;2479
"1987";"Ísland";2598;1916
"1988";"Ísland";2395;1856
"1989";"Ísland";1735;2883
"1990";"Ísland";2055;2806
"1991";"Ísland";2281;1995
"1992";"Ísland";1980;1775
"1993";"Ísland";1749;2016
"1994";"Ísland";1796;2657
"1995";"Ísland";1929;3566
"1996";"Ísland";2406;3444
"1997";"Ísland";2584;3158
"1998";"Ísland";2788;3021
"1999";"Ísland";2867;2709
"2000";"Ísland";2741;2679
"2001";"Ísland";2487;2959
"2002";"Ísland";2360;3380
"2003";"Ísland";2351;2964
"2004";"Ísland";2838;3276
"2005";"Ísland";3093;2975
"2006";"Ísland";2762;3042
"2007";"Ísland";3228;3395
"2008";"Ísland";2817;3294
"2009";"Ísland";2385;4851
"2010";"Ísland";2637;4340
"2011";"Ísland";2824;4135
"2012";"Ísland";3130;4066
"2013";"Ísland";3139;3175
"2014";"Ísland";2640;3400
"2015";"Ísland";2498;3763
"2016";"Ísland";3099;3245
