"Kyn";"Ár";"Landsvæði";"Íslenskir ríkisborgarar Brottfluttir"
"Alls";"1992";"Alls";1775
"Alls";"1993";"Alls";2016
"Alls";"1994";"Alls";2657
"Alls";"1995";"Alls";3566
"Alls";"1996";"Alls";3444
"Alls";"1997";"Alls";3158
"Alls";"1998";"Alls";3021
"Alls";"1999";"Alls";2709
"Alls";"2000";"Alls";2679
"Alls";"2001";"Alls";2959
"Alls";"2002";"Alls";3380
"Alls";"2003";"Alls";2964
"Alls";"2004";"Alls";3276
"Alls";"2005";"Alls";2975
"Alls";"2006";"Alls";3042
"Alls";"2007";"Alls";3395
"Alls";"2008";"Alls";3294
"Alls";"2009";"Alls";4851
"Alls";"2010";"Alls";4340
"Alls";"2011";"Alls";4135
"Alls";"2012";"Alls";4066
"Alls";"2013";"Alls";3175
"Alls";"2014";"Alls";3400
"Alls";"2015";"Alls";3763
