AAR,STATKODE,BYDEL,Total,Percentage,COUNTRY,DISTRICT
1992.0,5001.0,0.0,1.0,2.64571262269e-05,Uoplyst(2),All Districts
1992.0,5001.0,1.0,0.0,0.0,Uoplyst(2),Indre By
1992.0,5001.0,2.0,0.0,0.0,Uoplyst(2),Østerbro
1992.0,5001.0,3.0,0.0,0.0,Uoplyst(2),Nørrebro
1992.0,5001.0,4.0,0.0,0.0,Uoplyst(2),Vesterbro/Kgs. Enghave
1992.0,5001.0,5.0,0.0,0.0,Uoplyst(2),Valby
1992.0,5001.0,6.0,0.0,0.0,Uoplyst(2),Vanløse
1992.0,5001.0,7.0,0.0,0.0,Uoplyst(2),Brønshøj-Husum
1992.0,5001.0,8.0,0.0,0.0,Uoplyst(2),Bispebjerg
1992.0,5001.0,9.0,1.0,0.000290951411114,Uoplyst(2),Amager Øst
1992.0,5001.0,10.0,0.0,0.0,Uoplyst(2),Amager Vest
1992.0,5001.0,99.0,0.0,0.0,Uoplyst(2),Udenfor inddeling
1992.0,5102.0,0.0,7.0,0.000185199883589,Udlandet uoplyst,All Districts
1992.0,5102.0,1.0,0.0,0.0,Udlandet uoplyst,Indre By
1992.0,5102.0,2.0,0.0,0.0,Udlandet uoplyst,Østerbro
1992.0,5102.0,3.0,1.0,0.000110607233713,Udlandet uoplyst,Nørrebro
1992.0,5102.0,4.0,0.0,0.0,Udlandet uoplyst,Vesterbro/Kgs. Enghave
1992.0,5102.0,5.0,0.0,0.0,Udlandet uoplyst,Valby
1992.0,5102.0,6.0,0.0,0.0,Udlandet uoplyst,Vanløse
1992.0,5102.0,7.0,0.0,0.0,Udlandet uoplyst,Brønshøj-Husum
1992.0,5102.0,8.0,0.0,0.0,Udlandet uoplyst,Bispebjerg
1992.0,5102.0,9.0,2.0,0.000581902822229,Udlandet uoplyst,Amager Øst
1992.0,5102.0,10.0,1.0,0.000356506238859,Udlandet uoplyst,Amager Vest
1992.0,5102.0,99.0,3.0,0.00470219435737,Udlandet uoplyst,Udenfor inddeling
1992.0,5103.0,0.0,593.0,0.0156890758526,Statsløs,All Districts
1992.0,5103.0,1.0,13.0,0.00450138504155,Statsløs,Indre By
1992.0,5103.0,2.0,29.0,0.00827625570776,Statsløs,Østerbro
1992.0,5103.0,3.0,278.0,0.0307488109722,Statsløs,Nørrebro
1992.0,5103.0,4.0,62.0,0.00934438583271,Statsløs,Vesterbro/Kgs. Enghave
1992.0,5103.0,5.0,31.0,0.0122967076557,Statsløs,Valby
1992.0,5103.0,6.0,15.0,0.0117096018735,Statsløs,Vanløse
1992.0,5103.0,7.0,19.0,0.00906488549618,Statsløs,Brønshøj-Husum
1992.0,5103.0,8.0,26.0,0.00881057268722,Statsløs,Bispebjerg
1992.0,5103.0,9.0,62.0,0.0180389874891,Statsløs,Amager Øst
1992.0,5103.0,10.0,52.0,0.0185383244207,Statsløs,Amager Vest
1992.0,5103.0,99.0,6.0,0.00940438871473,Statsløs,Udenfor inddeling
1992.0,5104.0,0.0,528.0,0.0139693626478,Finland,All Districts
1992.0,5104.0,1.0,92.0,0.0318559556787,Finland,Indre By
1992.0,5104.0,2.0,56.0,0.0159817351598,Finland,Østerbro
1992.0,5104.0,3.0,88.0,0.00973343656675,Finland,Nørrebro
1992.0,5104.0,4.0,83.0,0.0125094197438,Finland,Vesterbro/Kgs. Enghave
1992.0,5104.0,5.0,34.0,0.0134867116224,Finland,Valby
1992.0,5104.0,6.0,9.0,0.00702576112412,Finland,Vanløse
